category,image_name,defect_type,mask
bottle,002.png,good,no
bottle,016.png,broken_small,yes
bottle,003.png,broken_small,yes
bottle,015.png,contamination,yes
bottle,016.png,good,no
bottle,001.png,broken_large,yes
bottle,018.png,contamination,yes
bottle,020.png,broken_small,yes
bottle,000.png,contamination,yes
bottle,015.png,good,no
bottle,011.png,good,no
bottle,009.png,good,no
bottle,019.png,broken_large,yes
bottle,000.png,broken_small,yes
bottle,006.png,broken_small,yes
bottle,018.png,broken_large,yes
bottle,010.png,contamination,yes
bottle,001.png,contamination,yes
bottle,007.png,broken_large,yes
bottle,014.png,broken_small,yes
bottle,004.png,good,no
bottle,002.png,broken_large,yes
bottle,016.png,broken_large,yes
bottle,018.png,broken_small,yes
bottle,021.png,broken_small,yes
bottle,002.png,broken_small,yes
bottle,003.png,contamination,yes
bottle,004.png,broken_small,yes
bottle,005.png,broken_large,yes
bottle,006.png,broken_large,yes
bottle,008.png,contamination,yes
bottle,012.png,good,no
bottle,009.png,broken_large,yes
bottle,017.png,contamination,yes
bottle,001.png,broken_small,yes
bottle,005.png,good,no
bottle,002.png,contamination,yes
bottle,010.png,broken_large,yes
bottle,016.png,contamination,yes
bottle,006.png,contamination,yes
bottle,000.png,broken_large,yes
bottle,013.png,contamination,yes
bottle,009.png,contamination,yes
bottle,013.png,good,no
bottle,017.png,broken_small,yes
bottle,014.png,good,no
bottle,019.png,good,no
bottle,011.png,contamination,yes
bottle,005.png,broken_small,yes
bottle,007.png,good,no
bottle,001.png,good,no
bottle,009.png,broken_small,yes
bottle,007.png,broken_small,yes
bottle,010.png,good,no
bottle,017.png,good,no
bottle,004.png,broken_large,yes
bottle,012.png,contamination,yes
bottle,011.png,broken_large,yes
bottle,006.png,good,no
bottle,013.png,broken_large,yes
bottle,017.png,broken_large,yes
bottle,008.png,broken_small,yes
bottle,011.png,broken_small,yes
bottle,015.png,broken_small,yes
bottle,003.png,broken_large,yes
bottle,014.png,broken_large,yes
bottle,018.png,good,no
capsule,021.png,faulty_imprint,yes
capsule,002.png,faulty_imprint,yes
capsule,003.png,crack,yes
capsule,000.png,crack,yes
capsule,012.png,good,no
capsule,019.png,scratch,yes
capsule,005.png,faulty_imprint,yes
capsule,002.png,squeeze,yes
capsule,008.png,scratch,yes
capsule,004.png,scratch,yes
capsule,008.png,good,no
capsule,017.png,squeeze,yes
capsule,001.png,squeeze,yes
capsule,000.png,squeeze,yes
capsule,020.png,poke,yes
capsule,018.png,scratch,yes
capsule,005.png,crack,yes
capsule,002.png,scratch,yes
capsule,003.png,faulty_imprint,yes
capsule,007.png,faulty_imprint,yes
capsule,016.png,squeeze,yes
capsule,004.png,faulty_imprint,yes
capsule,000.png,good,no
capsule,017.png,good,no
capsule,016.png,good,no
capsule,006.png,scratch,yes
capsule,008.png,faulty_imprint,yes
capsule,012.png,squeeze,yes
capsule,007.png,poke,yes
capsule,003.png,poke,yes
capsule,012.png,poke,yes
capsule,004.png,crack,yes
capsule,015.png,faulty_imprint,yes
capsule,020.png,faulty_imprint,yes
capsule,011.png,crack,yes
capsule,001.png,good,no
capsule,016.png,poke,yes
capsule,003.png,scratch,yes
capsule,019.png,poke,yes
capsule,017.png,faulty_imprint,yes
capsule,010.png,crack,yes
capsule,021.png,scratch,yes
capsule,014.png,poke,yes
capsule,011.png,good,no
capsule,022.png,good,no
capsule,004.png,poke,yes
capsule,019.png,faulty_imprint,yes
capsule,010.png,squeeze,yes
capsule,011.png,scratch,yes
capsule,015.png,poke,yes
capsule,018.png,poke,yes
capsule,016.png,scratch,yes
capsule,021.png,good,no
capsule,019.png,squeeze,yes
capsule,012.png,faulty_imprint,yes
capsule,014.png,faulty_imprint,yes
capsule,021.png,crack,yes
capsule,014.png,squeeze,yes
capsule,001.png,scratch,yes
capsule,017.png,scratch,yes
capsule,006.png,poke,yes
capsule,006.png,crack,yes
capsule,008.png,crack,yes
capsule,013.png,scratch,yes
capsule,000.png,faulty_imprint,yes
capsule,003.png,squeeze,yes
capsule,011.png,faulty_imprint,yes
capsule,019.png,good,no
capsule,009.png,squeeze,yes
capsule,004.png,good,no
capsule,016.png,crack,yes
capsule,008.png,squeeze,yes
capsule,005.png,squeeze,yes
capsule,020.png,crack,yes
capsule,011.png,squeeze,yes
capsule,019.png,crack,yes
capsule,003.png,good,no
capsule,015.png,crack,yes
capsule,015.png,scratch,yes
capsule,013.png,crack,yes
capsule,007.png,crack,yes
capsule,022.png,crack,yes
capsule,005.png,good,no
