image_name,defect_type,dice,iou,predicted_ratio,target_ratio,abs_ratio_error
003.png,good,1.0,1.0,0.0,0.0,0.0
019.png,contamination,0.879715,0.78526,0.031006,0.03331,0.002304
008.png,broken_large,0.788808,0.651266,0.189316,0.130249,0.059067
005.png,contamination,0.764885,0.619283,0.187073,0.123016,0.064056
020.png,contamination,0.74244,0.590382,0.25383,0.149857,0.103973
015.png,broken_large,0.734863,0.580857,0.16069,0.093338,0.067352
012.png,broken_large,0.719207,0.561532,0.153275,0.086807,0.066467
012.png,broken_small,0.698328,0.536486,0.145538,0.078079,0.067459
013.png,broken_small,0.655256,0.487272,0.062164,0.032333,0.029831
010.png,broken_small,0.601607,0.430213,0.100372,0.045822,0.05455
007.png,contamination,0.582255,0.410691,0.058685,0.055679,0.003006
019.png,broken_small,0.570545,0.399134,0.060776,0.028015,0.032761
004.png,contamination,0.311088,0.184194,0.067047,0.020752,0.046295
008.png,good,0.0,0.0,0.013,0.0,0.013
014.png,contamination,0.0,0.0,0.016327,0.006927,0.009399
000.png,good,0.0,0.0,0.030121,0.0,0.030121
