section,category,training_mode,dice,iou,comment
Ключевое сравнение bottle,bottle,отдельно,0.606644,0.521746,Это лучший результат для bottle в сравнении отдельно против общего.
Ключевое сравнение bottle,bottle,общее,0.1875,0.1875,Это более слабый результат для bottle.
Полная сводка,bottle,отдельно,0.606644,0.521746,
Полная сводка,capsule,отдельно,0.178571,0.178571,
Полная сводка,metal_nut,отдельно,0.287587,0.228832,
Полная сводка,pill,отдельно,0.466299,0.359749,
Полная сводка,bottle,общее,0.1875,0.1875,
Полная сводка,capsule,общее,0.178571,0.178571,
Полная сводка,metal_nut,общее,0.125,0.125,
Полная сводка,pill,общее,0.166667,0.166667,
