image_name,defect_type,mask
002.png,good,no
016.png,broken_small,yes
003.png,broken_small,yes
015.png,contamination,yes
016.png,good,no
001.png,broken_large,yes
018.png,contamination,yes
020.png,broken_small,yes
000.png,contamination,yes
015.png,good,no
011.png,good,no
009.png,good,no
019.png,broken_large,yes
000.png,broken_small,yes
006.png,broken_small,yes
018.png,broken_large,yes
010.png,contamination,yes
001.png,contamination,yes
007.png,broken_large,yes
014.png,broken_small,yes
004.png,good,no
002.png,broken_large,yes
016.png,broken_large,yes
018.png,broken_small,yes
021.png,broken_small,yes
002.png,broken_small,yes
003.png,contamination,yes
004.png,broken_small,yes
005.png,broken_large,yes
006.png,broken_large,yes
008.png,contamination,yes
012.png,good,no
009.png,broken_large,yes
017.png,contamination,yes
001.png,broken_small,yes
005.png,good,no
002.png,contamination,yes
010.png,broken_large,yes
016.png,contamination,yes
006.png,contamination,yes
000.png,broken_large,yes
013.png,contamination,yes
009.png,contamination,yes
013.png,good,no
017.png,broken_small,yes
014.png,good,no
019.png,good,no
011.png,contamination,yes
005.png,broken_small,yes
007.png,good,no
001.png,good,no
009.png,broken_small,yes
007.png,broken_small,yes
010.png,good,no
017.png,good,no
004.png,broken_large,yes
012.png,contamination,yes
011.png,broken_large,yes
006.png,good,no
013.png,broken_large,yes
017.png,broken_large,yes
008.png,broken_small,yes
011.png,broken_small,yes
015.png,broken_small,yes
003.png,broken_large,yes
014.png,broken_large,yes
018.png,good,no
