image_name,defect_type,mask
021.png,faulty_imprint,yes
002.png,faulty_imprint,yes
003.png,crack,yes
000.png,crack,yes
012.png,good,no
019.png,scratch,yes
005.png,faulty_imprint,yes
002.png,squeeze,yes
008.png,scratch,yes
004.png,scratch,yes
008.png,good,no
017.png,squeeze,yes
001.png,squeeze,yes
000.png,squeeze,yes
020.png,poke,yes
018.png,scratch,yes
005.png,crack,yes
002.png,scratch,yes
003.png,faulty_imprint,yes
007.png,faulty_imprint,yes
016.png,squeeze,yes
004.png,faulty_imprint,yes
000.png,good,no
017.png,good,no
016.png,good,no
006.png,scratch,yes
008.png,faulty_imprint,yes
012.png,squeeze,yes
007.png,poke,yes
003.png,poke,yes
012.png,poke,yes
004.png,crack,yes
015.png,faulty_imprint,yes
020.png,faulty_imprint,yes
011.png,crack,yes
001.png,good,no
016.png,poke,yes
003.png,scratch,yes
019.png,poke,yes
017.png,faulty_imprint,yes
010.png,crack,yes
021.png,scratch,yes
014.png,poke,yes
011.png,good,no
022.png,good,no
004.png,poke,yes
019.png,faulty_imprint,yes
010.png,squeeze,yes
011.png,scratch,yes
015.png,poke,yes
018.png,poke,yes
016.png,scratch,yes
021.png,good,no
019.png,squeeze,yes
012.png,faulty_imprint,yes
014.png,faulty_imprint,yes
021.png,crack,yes
014.png,squeeze,yes
001.png,scratch,yes
017.png,scratch,yes
006.png,poke,yes
006.png,crack,yes
008.png,crack,yes
013.png,scratch,yes
000.png,faulty_imprint,yes
003.png,squeeze,yes
011.png,faulty_imprint,yes
019.png,good,no
009.png,squeeze,yes
004.png,good,no
016.png,crack,yes
008.png,squeeze,yes
005.png,squeeze,yes
020.png,crack,yes
011.png,squeeze,yes
019.png,crack,yes
003.png,good,no
015.png,crack,yes
015.png,scratch,yes
013.png,crack,yes
007.png,crack,yes
022.png,crack,yes
005.png,good,no
004.png,squeeze,yes
007.png,scratch,yes
002.png,poke,yes
020.png,scratch,yes
011.png,poke,yes
002.png,good,no
018.png,squeeze,yes
010.png,good,no
020.png,good,no
002.png,crack,yes
009.png,poke,yes
018.png,good,no
008.png,poke,yes
013.png,good,no
012.png,crack,yes
012.png,scratch,yes
000.png,scratch,yes
017.png,poke,yes
005.png,scratch,yes
006.png,squeeze,yes
013.png,faulty_imprint,yes
005.png,poke,yes
009.png,crack,yes
