image_name,defect_type,mask
001.png,scratch,yes
019.png,bent,yes
017.png,flip,yes
018.png,bent,yes
013.png,good,no
011.png,scratch,yes
007.png,bent,yes
000.png,bent,yes
010.png,bent,yes
017.png,bent,yes
020.png,good,no
016.png,scratch,yes
021.png,color,yes
007.png,flip,yes
010.png,good,no
019.png,scratch,yes
007.png,good,no
009.png,scratch,yes
004.png,color,yes
004.png,good,no
005.png,color,yes
023.png,bent,yes
021.png,bent,yes
017.png,good,no
003.png,flip,yes
000.png,good,no
008.png,flip,yes
020.png,flip,yes
010.png,flip,yes
016.png,good,no
002.png,color,yes
009.png,flip,yes
022.png,scratch,yes
014.png,good,no
002.png,bent,yes
012.png,scratch,yes
020.png,scratch,yes
015.png,bent,yes
000.png,flip,yes
016.png,flip,yes
016.png,bent,yes
012.png,good,no
024.png,bent,yes
013.png,flip,yes
014.png,flip,yes
006.png,good,no
002.png,flip,yes
019.png,color,yes
004.png,bent,yes
013.png,scratch,yes
013.png,bent,yes
015.png,color,yes
009.png,color,yes
007.png,scratch,yes
021.png,good,no
008.png,bent,yes
005.png,scratch,yes
010.png,scratch,yes
006.png,scratch,yes
009.png,good,no
011.png,color,yes
018.png,color,yes
009.png,bent,yes
020.png,color,yes
016.png,color,yes
015.png,good,no
002.png,scratch,yes
004.png,flip,yes
005.png,good,no
015.png,scratch,yes
011.png,good,no
004.png,scratch,yes
013.png,color,yes
018.png,good,no
018.png,flip,yes
020.png,bent,yes
012.png,bent,yes
001.png,bent,yes
002.png,good,no
017.png,scratch,yes
014.png,scratch,yes
003.png,bent,yes
012.png,color,yes
003.png,color,yes
001.png,flip,yes
022.png,bent,yes
014.png,bent,yes
018.png,scratch,yes
019.png,good,no
022.png,flip,yes
019.png,flip,yes
005.png,flip,yes
