image_name,defect_type,mask
019.png,contamination,yes
008.png,combined,yes
000.png,scratch,yes
003.png,contamination,yes
013.png,faulty_imprint,yes
017.png,scratch,yes
007.png,scratch,yes
000.png,pill_type,yes
006.png,faulty_imprint,yes
003.png,good,no
010.png,contamination,yes
010.png,color,yes
018.png,contamination,yes
007.png,good,no
006.png,pill_type,yes
010.png,good,no
005.png,faulty_imprint,yes
023.png,good,no
004.png,color,yes
008.png,contamination,yes
018.png,scratch,yes
004.png,scratch,yes
020.png,good,no
021.png,good,no
010.png,scratch,yes
002.png,scratch,yes
016.png,color,yes
022.png,crack,yes
004.png,pill_type,yes
008.png,scratch,yes
004.png,faulty_imprint,yes
004.png,good,no
003.png,combined,yes
025.png,crack,yes
005.png,good,no
006.png,scratch,yes
000.png,contamination,yes
000.png,combined,yes
014.png,contamination,yes
012.png,faulty_imprint,yes
000.png,faulty_imprint,yes
004.png,contamination,yes
010.png,crack,yes
000.png,color,yes
013.png,color,yes
009.png,contamination,yes
006.png,color,yes
010.png,combined,yes
003.png,faulty_imprint,yes
001.png,color,yes
023.png,color,yes
021.png,color,yes
013.png,combined,yes
015.png,combined,yes
008.png,pill_type,yes
003.png,crack,yes
012.png,good,no
017.png,good,no
005.png,scratch,yes
002.png,good,no
003.png,color,yes
015.png,crack,yes
019.png,good,no
021.png,scratch,yes
025.png,good,no
008.png,crack,yes
011.png,color,yes
007.png,crack,yes
016.png,contamination,yes
011.png,crack,yes
015.png,scratch,yes
006.png,contamination,yes
007.png,contamination,yes
011.png,contamination,yes
011.png,good,no
012.png,combined,yes
003.png,scratch,yes
009.png,scratch,yes
002.png,pill_type,yes
014.png,scratch,yes
006.png,combined,yes
013.png,scratch,yes
011.png,faulty_imprint,yes
017.png,crack,yes
001.png,scratch,yes
005.png,pill_type,yes
001.png,combined,yes
014.png,good,no
005.png,contamination,yes
008.png,good,no
000.png,crack,yes
007.png,color,yes
022.png,good,no
012.png,crack,yes
020.png,scratch,yes
010.png,faulty_imprint,yes
001.png,pill_type,yes
021.png,crack,yes
016.png,scratch,yes
022.png,color,yes
016.png,faulty_imprint,yes
024.png,color,yes
018.png,crack,yes
002.png,faulty_imprint,yes
001.png,crack,yes
019.png,crack,yes
002.png,contamination,yes
008.png,color,yes
014.png,color,yes
011.png,combined,yes
015.png,faulty_imprint,yes
019.png,color,yes
001.png,good,no
012.png,contamination,yes
014.png,combined,yes
023.png,scratch,yes
009.png,combined,yes
017.png,color,yes
009.png,color,yes
016.png,crack,yes
005.png,combined,yes
009.png,crack,yes
004.png,combined,yes
002.png,color,yes
015.png,good,no
018.png,color,yes
005.png,color,yes
023.png,crack,yes
014.png,crack,yes
020.png,color,yes
002.png,crack,yes
016.png,good,no
017.png,faulty_imprint,yes
006.png,crack,yes
