epoch,train_loss,train_error,train_bce,train_dice_loss,val_loss,validation_error,val_bce,val_dice_loss,learning_rate,best_model
1,0.891367,0.891367,0.921982,0.845443,7.728387,7.728387,12.293652,0.88049,0.00050000,yes
2,0.696042,0.696042,0.633824,0.789368,10.765241,10.765241,17.350333,0.887602,0.00050000,no
3,0.6998,0.6998,0.648264,0.777103,4.716252,4.716252,7.302709,0.836566,0.00050000,yes
4,0.659419,0.659419,0.591643,0.761083,0.777326,0.777326,0.809223,0.729481,0.00050000,yes
5,0.645128,0.645128,0.578142,0.745608,0.609337,0.609337,0.538312,0.715875,0.00050000,yes
6,0.588187,0.588187,0.490986,0.733988,1.234732,1.234732,1.511263,0.819935,0.00050000,no
7,0.625885,0.625885,0.553905,0.733855,0.60608,0.60608,0.528454,0.722519,0.00050000,yes
8,0.601987,0.601987,0.527262,0.714075,0.695206,0.695206,0.684718,0.710937,0.00050000,no
9,0.620999,0.620999,0.571816,0.694772,0.534049,0.534049,0.437462,0.678929,0.00050000,yes
10,0.515151,0.515151,0.416441,0.663216,0.555745,0.555745,0.496956,0.643929,0.00050000,no
11,0.456041,0.456041,0.332157,0.641867,0.451482,0.451482,0.335229,0.625861,0.00050000,yes
12,0.467479,0.467479,0.356131,0.634501,0.495578,0.495578,0.399391,0.639857,0.00050000,no
13,0.467364,0.467364,0.358618,0.630484,1.054982,1.054982,1.294414,0.695834,0.00050000,no
14,0.512822,0.512822,0.446615,0.612132,0.402278,0.402278,0.283628,0.580253,0.00050000,yes
15,0.447186,0.447186,0.341805,0.605258,0.55849,0.55849,0.501504,0.643971,0.00050000,no
16,0.450888,0.450888,0.358739,0.589112,0.594003,0.594003,0.59603,0.590962,0.00050000,no
17,0.415757,0.415757,0.29593,0.595498,0.441135,0.441135,0.339509,0.593574,0.00025000,no
18,0.380848,0.380848,0.264003,0.556116,0.4119,0.4119,0.292813,0.590531,0.00025000,no
19,0.553308,0.553308,0.543024,0.568733,0.592169,0.592169,0.606785,0.570244,0.00025000,no
20,0.350579,0.350579,0.229995,0.531455,0.506003,0.506003,0.465306,0.56705,0.00012500,no
