variant,epoch,train_loss,validation_error,learning_rate,best_so_far
adamw_lr5e-4,1,0.891367,7.728387,0.00050000,yes
adamw_lr5e-4,2,0.696042,10.765241,0.00050000,no
adamw_lr5e-4,3,0.6998,4.716252,0.00050000,yes
adamw_lr5e-4,4,0.659419,0.777326,0.00050000,yes
adamw_lr5e-4,5,0.645128,0.609337,0.00050000,yes
adamw_lr5e-4,6,0.588187,1.234732,0.00050000,no
adamw_lr5e-4,7,0.625885,0.60608,0.00050000,yes
adamw_lr5e-4,8,0.601987,0.695206,0.00050000,no
adamw_lr5e-4,9,0.620999,0.534049,0.00050000,yes
adamw_lr5e-4,10,0.515151,0.555745,0.00050000,no
adamw_lr5e-4,11,0.456041,0.451482,0.00050000,yes
adamw_lr5e-4,12,0.467479,0.495578,0.00050000,no
adamw_lr5e-4,13,0.467364,1.054982,0.00050000,no
adamw_lr5e-4,14,0.512822,0.402278,0.00050000,yes
adamw_lr5e-4,15,0.447186,0.55849,0.00050000,no
adamw_lr5e-4,16,0.450888,0.594003,0.00050000,no
adamw_lr5e-4,17,0.415757,0.442038,0.00025000,no
adamw_lr5e-4,18,0.380846,0.408823,0.00025000,no
adamw_lr5e-4,19,0.553251,0.603661,0.00025000,no
adam_lr5e-4,1,0.926443,44.181513,0.00050000,yes
adam_lr5e-4,2,0.829498,29.56403,0.00050000,yes
adam_lr5e-4,3,0.701542,0.983173,0.00050000,yes
adam_lr5e-4,4,0.675408,0.694645,0.00050000,yes
adam_lr5e-4,5,0.701559,1.132132,0.00050000,no
adam_lr5e-4,6,0.611758,1.390278,0.00050000,no
adam_lr5e-4,7,0.613427,0.819275,0.00025000,no
adam_lr5e-4,8,0.547156,0.514902,0.00025000,yes
adam_lr5e-4,9,0.555823,0.538282,0.00025000,no
adam_lr5e-4,10,0.55963,0.764341,0.00025000,no
adam_lr5e-4,11,0.559419,0.498876,0.00025000,yes
adam_lr5e-4,12,0.50187,0.572895,0.00025000,no
adam_lr5e-4,13,0.465694,0.460857,0.00025000,yes
adam_lr5e-4,14,0.437242,0.506685,0.00025000,no
adam_lr5e-4,15,0.440299,0.489945,0.00025000,no
adam_lr5e-4,16,0.53736,0.494154,0.00012500,no
adam_lr5e-4,17,0.440024,0.496816,0.00012500,no
adam_lr5e-4,18,0.412546,0.408325,0.00012500,yes
adam_lr5e-4,19,0.420327,0.456443,0.00012500,no
adam_lr5e-4,20,0.389421,0.416581,0.00012500,no
rmsprop_lr1e-4,1,0.990849,1771.655701,0.00010000,yes
rmsprop_lr1e-4,2,0.889913,1.349316,0.00010000,yes
rmsprop_lr1e-4,3,0.776428,0.972524,0.00010000,yes
rmsprop_lr1e-4,4,0.722738,0.873388,0.00010000,yes
rmsprop_lr1e-4,5,0.71139,1.208172,0.00010000,no
rmsprop_lr1e-4,6,0.728981,1.097523,0.00010000,no
rmsprop_lr1e-4,7,0.703018,0.912024,0.00005000,no
rmsprop_lr1e-4,8,0.600247,0.542996,0.00005000,yes
rmsprop_lr1e-4,9,0.622996,0.604459,0.00005000,no
rmsprop_lr1e-4,10,0.576879,0.850118,0.00005000,no
rmsprop_lr1e-4,11,0.52761,0.7058,0.00002500,no
rmsprop_lr1e-4,12,0.575336,0.58262,0.00002500,no
rmsprop_lr1e-4,13,0.504632,0.651598,0.00002500,no
sgd_lr1e-2,1,1.016208,1.097198,0.01000000,yes
sgd_lr1e-2,2,0.875474,0.975677,0.01000000,yes
sgd_lr1e-2,3,0.826599,0.762691,0.01000000,yes
sgd_lr1e-2,4,0.718503,0.770069,0.01000000,no
sgd_lr1e-2,5,0.623253,0.998839,0.01000000,no
sgd_lr1e-2,6,0.596097,1.109847,0.00500000,no
sgd_lr1e-2,7,0.528772,0.511484,0.00500000,yes
sgd_lr1e-2,8,0.531636,0.944188,0.00500000,no
sgd_lr1e-2,9,0.535316,0.659266,0.00500000,no
sgd_lr1e-2,10,0.425204,0.972085,0.00250000,no
sgd_lr1e-2,11,0.412388,0.414152,0.00250000,yes
sgd_lr1e-2,12,0.424498,0.441426,0.00250000,no
sgd_lr1e-2,13,0.389231,0.384081,0.00250000,yes
sgd_lr1e-2,14,0.36361,0.413366,0.00250000,no
sgd_lr1e-2,15,0.40194,0.373634,0.00250000,yes
sgd_lr1e-2,16,0.3605,0.457299,0.00250000,no
sgd_lr1e-2,17,0.337619,0.446983,0.00250000,no
sgd_lr1e-2,18,0.32669,0.36047,0.00250000,yes
sgd_lr1e-2,19,0.327712,0.446227,0.00250000,no
sgd_lr1e-2,20,0.337393,0.331616,0.00250000,yes
adamw_lr1e-3,1,0.964979,192.080112,0.00100000,yes
adamw_lr1e-3,2,0.844392,60.850339,0.00100000,yes
adamw_lr1e-3,3,0.751199,7.28972,0.00100000,yes
adamw_lr1e-3,4,0.735485,1.159707,0.00100000,yes
adamw_lr1e-3,5,0.667713,0.896167,0.00100000,yes
adamw_lr1e-3,6,0.632799,2.646633,0.00100000,no
adamw_lr1e-3,7,0.592659,1.457977,0.00100000,no
adamw_lr1e-3,8,0.635597,0.898057,0.00050000,no
adamw_lr1e-3,9,0.566226,1.206387,0.00050000,no
adamw_lr1e-3,10,0.638576,0.794808,0.00050000,yes
adamw_lr1e-3,11,0.487416,0.694607,0.00050000,yes
adamw_lr1e-3,12,0.596039,0.522281,0.00050000,yes
adamw_lr1e-3,13,0.561639,0.53367,0.00050000,no
adamw_lr1e-3,14,0.485375,0.569329,0.00050000,no
adamw_lr1e-3,15,0.489755,0.634906,0.00025000,no
adamw_lr1e-3,16,0.454871,0.519912,0.00025000,yes
adamw_lr1e-3,17,0.38341,0.482463,0.00025000,yes
adamw_lr1e-3,18,0.387149,0.471329,0.00025000,yes
adamw_lr1e-3,19,0.422157,0.426022,0.00025000,yes
adamw_lr1e-3,20,0.411159,0.461979,0.00025000,no
