epoch,train_loss,train_error,train_bce,train_dice_loss,val_loss,validation_error,val_bce,val_dice_loss,learning_rate,best_model
1,0.99058,0.99058,1.068611,0.873535,1.056737,1.056737,1.164136,0.895637,0.01000000,yes
2,0.880617,0.880617,0.906196,0.84225,0.952346,0.952346,1.017886,0.854036,0.01000000,yes
3,0.809039,0.809039,0.806245,0.813229,0.99688,0.99688,1.087254,0.861319,0.01000000,no
4,0.727735,0.727735,0.692291,0.780901,0.716288,0.716288,0.688463,0.758025,0.01000000,yes
5,0.684041,0.684041,0.641582,0.74773,0.882783,0.882783,0.971709,0.749395,0.01000000,no
6,0.59157,0.59157,0.507569,0.71757,0.651926,0.651926,0.601253,0.727936,0.01000000,yes
7,0.527794,0.527794,0.425665,0.680987,1.005508,1.005508,1.198366,0.71622,0.01000000,no
8,0.520313,0.520313,0.430427,0.655142,0.559997,0.559997,0.499134,0.651292,0.01000000,yes
9,0.570138,0.570138,0.533448,0.625173,0.620475,0.620475,0.569427,0.697047,0.01000000,no
10,0.47385,0.47385,0.393317,0.594649,0.560659,0.560659,0.540927,0.590256,0.01000000,no
11,0.416872,0.416872,0.300061,0.592088,0.380891,0.380891,0.252862,0.572935,0.01000000,yes
12,0.396407,0.396407,0.276381,0.576446,0.836138,0.836138,0.970184,0.635068,0.01000000,no
13,0.468649,0.468649,0.402028,0.568581,0.610204,0.610204,0.545353,0.707482,0.01000000,no
14,0.421911,0.421911,0.334402,0.553175,0.392782,0.392782,0.302197,0.528659,0.00500000,no
15,0.360684,0.360684,0.248147,0.52949,0.663475,0.663475,0.737324,0.552701,0.00500000,no
16,0.332081,0.332081,0.219852,0.500424,0.428907,0.428907,0.385764,0.493621,0.00500000,no
